% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:1902463,"protein localization to cell leading edge",0.001%,-2.0909,0.982,0.000,"protein localization to cell leading edge"
GO:0006626,"protein targeting to mitochondrion",0.108%,-1.8030,0.863,0.433,"protein localization to cell leading edge"
GO:1903599,"positive regulation of mitophagy",0.002%,-1.6027,0.722,0.613,"protein localization to cell leading edge"
GO:0006310,"DNA recombination",1.641%,-2.4277,0.901,0.025,"DNA recombination"
GO:0006295,"nucleotide-excision repair, DNA incision, 3'-to lesion",0.001%,-1.8178,0.839,0.349,"DNA recombination"
GO:0033623,"regulation of integrin activation",0.002%,-1.5369,0.814,0.396,"DNA recombination"
GO:0061819,"telomeric DNA-containing double minutes formation",0.001%,-1.7931,0.794,0.608,"DNA recombination"
GO:1904353,"regulation of telomere capping",0.005%,-1.8194,0.748,0.389,"DNA recombination"
GO:0033683,"nucleotide-excision repair, DNA incision",0.007%,-1.3853,0.830,0.547,"DNA recombination"
GO:0043931,"ossification involved in bone maturation",0.003%,-3.0626,0.668,0.042,"ossification involved in bone maturation"
GO:0050957,"equilibrioception",0.002%,-1.8389,0.773,0.341,"ossification involved in bone maturation"
GO:0050954,"sensory perception of mechanical stimulus",0.043%,-1.3185,0.734,0.695,"ossification involved in bone maturation"
GO:0007605,"sensory perception of sound",0.039%,-1.3592,0.733,0.572,"ossification involved in bone maturation"
GO:0021987,"cerebral cortex development",0.020%,-2.0576,0.638,0.562,"ossification involved in bone maturation"
GO:0042490,"mechanoreceptor differentiation",0.017%,-1.3713,0.617,0.596,"ossification involved in bone maturation"
GO:0042247,"establishment of planar polarity of follicular epithelium",0.000%,-2.2672,0.700,0.590,"ossification involved in bone maturation"
GO:0007565,"female pregnancy",0.018%,-2.6608,0.748,0.385,"ossification involved in bone maturation"
GO:0045076,"regulation of interleukin-2 biosynthetic process",0.003%,-1.9568,0.631,0.380,"ossification involved in bone maturation"
GO:0007295,"growth of a germarium-derived egg chamber",0.001%,-2.2672,0.687,0.547,"ossification involved in bone maturation"
GO:0035989,"tendon development",0.001%,-2.3199,0.763,0.517,"ossification involved in bone maturation"
GO:0001503,"ossification",0.074%,-2.4013,0.682,0.461,"ossification involved in bone maturation"
GO:0030952,"establishment or maintenance of cytoskeleton polarity",0.015%,-1.6155,0.795,0.638,"ossification involved in bone maturation"
GO:0032660,"regulation of interleukin-17 production",0.005%,-1.6195,0.642,0.680,"ossification involved in bone maturation"
GO:0001763,"morphogenesis of a branching structure",0.048%,-1.8456,0.652,0.529,"ossification involved in bone maturation"
GO:0003382,"epithelial cell morphogenesis",0.008%,-2.1198,0.615,0.628,"ossification involved in bone maturation"
GO:0007431,"salivary gland development",0.018%,-2.2003,0.643,0.545,"ossification involved in bone maturation"
GO:0048729,"tissue morphogenesis",0.180%,-2.2593,0.659,0.688,"ossification involved in bone maturation"
GO:0001658,"branching involved in ureteric bud morphogenesis",0.012%,-2.9767,0.592,0.498,"ossification involved in bone maturation"
GO:1900062,"regulation of replicative cell aging",0.001%,-2.0176,0.691,0.324,"ossification involved in bone maturation"
GO:0032753,"positive regulation of interleukin-4 production",0.004%,-1.6808,0.617,0.668,"ossification involved in bone maturation"
GO:0010463,"mesenchymal cell proliferation",0.009%,-2.9582,0.863,0.045,"mesenchymal cell proliferation"
GO:0072137,"condensed mesenchymal cell proliferation",0.001%,-3.1027,0.877,0.525,"mesenchymal cell proliferation"
GO:0070661,"leukocyte proliferation",0.051%,-1.3081,0.852,0.698,"mesenchymal cell proliferation"
GO:1990874,"vascular smooth muscle cell proliferation",0.004%,-1.9814,0.866,0.565,"mesenchymal cell proliferation"
GO:0033002,"muscle cell proliferation",0.027%,-1.4222,0.856,0.630,"mesenchymal cell proliferation"
GO:0008283,"cell proliferation",0.394%,-1.4124,0.913,0.056,"cell proliferation"
GO:0019470,"4-hydroxyproline catabolic process",0.000%,-2.3703,0.851,0.069,"4-hydroxyproline catabolism"
GO:0006531,"aspartate metabolic process",0.018%,-1.7092,0.821,0.521,"4-hydroxyproline catabolism"
GO:0006532,"aspartate biosynthetic process",0.002%,-2.3703,0.826,0.270,"4-hydroxyproline catabolism"
GO:0019471,"4-hydroxyproline metabolic process",0.002%,-1.4513,0.853,0.409,"4-hydroxyproline catabolism"
GO:0006107,"oxaloacetate metabolic process",0.015%,-1.8920,0.834,0.461,"4-hydroxyproline catabolism"
GO:0006106,"fumarate metabolic process",0.049%,-1.3982,0.824,0.559,"4-hydroxyproline catabolism"
GO:0043649,"dicarboxylic acid catabolic process",0.037%,-1.4516,0.817,0.610,"4-hydroxyproline catabolism"
GO:0009068,"aspartate family amino acid catabolic process",0.072%,-1.6617,0.807,0.599,"4-hydroxyproline catabolism"
GO:0046487,"glyoxylate metabolic process",0.049%,-1.3415,0.846,0.217,"4-hydroxyproline catabolism"
GO:0006509,"membrane protein ectodomain proteolysis",0.013%,-1.3020,0.967,0.086,"membrane protein ectodomain proteolysis"
GO:0016051,"carbohydrate biosynthetic process",1.079%,-1.4675,0.879,0.091,"carbohydrate biosynthesis"
GO:0019253,"reductive pentose-phosphate cycle",0.005%,-1.5194,0.904,0.668,"carbohydrate biosynthesis"
GO:0019685,"photosynthesis, dark reaction",0.013%,-1.4980,0.900,0.536,"carbohydrate biosynthesis"
GO:0030198,"extracellular matrix organization",0.060%,-1.6057,0.814,0.093,"extracellular matrix organization"
GO:0043062,"extracellular structure organization",0.061%,-1.5611,0.814,0.329,"extracellular matrix organization"
GO:0007009,"plasma membrane organization",0.086%,-1.4010,0.810,0.337,"extracellular matrix organization"
