% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,uniqueness,dispensability,representative
GO:0007168,"receptor guanylyl cyclase signaling pathway",0.002%,0.803,0.118,"regulation of electron carrier activity"
GO:0030322,"stabilization of membrane potential",0.000%,0.876,0.101,"regulation of electron carrier activity"
GO:0090144,"mitochondrial nucleoid organization",0.000%,0.850,0.033,"mitochondrial nucleoid organization"
GO:0097031,"mitochondrial respiratory chain complex I biogenesis",0.013%,0.889,0.512,"mitochondrial nucleoid organization"
GO:0050808,"synapse organization",0.070%,0.797,0.300,"mitochondrial nucleoid organization"
GO:0099558,"maintenance of synapse structure",0.001%,0.826,0.187,"mitochondrial nucleoid organization"
GO:0060074,"synapse maturation",0.006%,0.686,0.677,"mitochondrial nucleoid organization"
GO:0006461,"protein complex assembly",0.960%,0.838,0.675,"mitochondrial nucleoid organization"
GO:0010257,"NADH dehydrogenase complex assembly",0.014%,0.866,0.679,"mitochondrial nucleoid organization"
GO:0090143,"nucleoid organization",0.000%,0.850,0.169,"mitochondrial nucleoid organization"
GO:0032981,"mitochondrial respiratory chain complex I assembly",0.013%,0.823,0.236,"mitochondrial nucleoid organization"
GO:1903852,"positive regulation of cristae formation",0.000%,0.726,0.496,"mitochondrial nucleoid organization"
GO:1903850,"regulation of cristae formation",0.000%,0.749,0.697,"mitochondrial nucleoid organization"
GO:0061300,"cerebellum vasculature development",0.001%,0.813,0.036,"cerebellum vasculature development"
GO:0050893,"sensory processing",0.001%,0.819,0.575,"cerebellum vasculature development"
GO:0050885,"neuromuscular process controlling balance",0.012%,0.815,0.696,"cerebellum vasculature development"
GO:0050877,"neurological system process",0.502%,0.782,0.477,"cerebellum vasculature development"
GO:0016319,"mushroom body development",0.004%,0.787,0.388,"cerebellum vasculature development"
GO:0031016,"pancreas development",0.021%,0.777,0.531,"cerebellum vasculature development"
GO:0001541,"ovarian follicle development",0.011%,0.780,0.648,"cerebellum vasculature development"
GO:0030728,"ovulation",0.004%,0.802,0.330,"cerebellum vasculature development"
GO:0042675,"compound eye cone cell differentiation",0.001%,0.764,0.439,"cerebellum vasculature development"
GO:0022027,"interkinetic nuclear migration",0.001%,0.757,0.606,"cerebellum vasculature development"
GO:0018214,"protein carboxylation",0.006%,0.935,0.036,"protein carboxylation"
GO:0034982,"mitochondrial protein processing",0.017%,0.913,0.181,"protein carboxylation"
GO:0002098,"tRNA wobble uridine modification",0.093%,0.920,0.250,"protein carboxylation"
GO:0006072,"glycerol-3-phosphate metabolic process",0.121%,0.871,0.045,"glycerol-3-phosphate metabolism"
GO:0006119,"oxidative phosphorylation",0.250%,0.765,0.559,"glycerol-3-phosphate metabolism"
GO:0046174,"polyol catabolic process",0.124%,0.810,0.483,"glycerol-3-phosphate metabolism"
GO:1901136,"carbohydrate derivative catabolic process",0.423%,0.878,0.425,"glycerol-3-phosphate metabolism"
GO:0052646,"alditol phosphate metabolic process",0.123%,0.881,0.390,"glycerol-3-phosphate metabolism"
GO:0052652,"cyclic purine nucleotide metabolic process",0.094%,0.777,0.383,"glycerol-3-phosphate metabolism"
GO:1901135,"carbohydrate derivative metabolic process",6.319%,0.963,0.047,"carbohydrate derivative metabolism"
GO:0044708,"single-organism behavior",0.111%,0.825,0.048,"single-organism behavior"
GO:0006091,"generation of precursor metabolites and energy",1.940%,0.940,0.057,"generation of precursor metabolites and energy"
GO:0051791,"medium-chain fatty acid metabolic process",0.002%,0.848,0.074,"medium-chain fatty acid metabolism"
GO:0030205,"dermatan sulfate metabolic process",0.001%,0.785,0.322,"medium-chain fatty acid metabolism"
