% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0001817,"regulation of cytokine production",0.108%,-1.5353,0.619,0.672,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0061061,"muscle structure development",0.142%,-2.1741,0.814,0.575,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0060586,"multicellular organismal iron ion homeostasis",0.002%,-2.6484,0.679,0.676,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0014842,"regulation of skeletal muscle satellite cell proliferation",0.003%,-2.3556,0.778,0.137,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0002832,"negative regulation of response to biotic stimulus",0.013%,-1.7303,0.666,0.672,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0002831,"regulation of response to biotic stimulus",0.038%,-1.7012,0.688,0.519,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0046890,"regulation of lipid biosynthetic process",0.048%,-2.2399,0.690,0.692,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007213,"G-protein coupled acetylcholine receptor signaling pathway",0.008%,-1.8488,0.692,0.544,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0021532,"neural tube patterning",0.011%,-2.3480,0.748,0.474,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007212,"dopamine receptor signaling pathway",0.014%,-1.4972,0.713,0.564,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007167,"enzyme linked receptor protein signaling pathway",0.279%,-1.8362,0.639,0.615,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007166,"cell surface receptor signaling pathway",0.920%,-1.9062,0.631,0.365,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007165,"signal transduction",6.621%,-2.4717,0.567,0.679,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0036342,"post-anal tail morphogenesis",0.005%,-1.4582,0.843,0.453,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0010035,"response to inorganic substance",0.317%,-1.4812,0.857,0.652,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0014065,"phosphatidylinositol 3-kinase signaling",0.023%,-1.6651,0.707,0.388,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007187,"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",0.046%,-2.7803,0.693,0.608,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007188,"adenylate cyclase-modulating G-protein coupled receptor signaling pathway",0.043%,-2.8685,0.694,0.513,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:1903244,"positive regulation of cardiac muscle hypertrophy in response to stress",0.001%,-2.9484,0.573,0.598,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0003323,"type B pancreatic cell development",0.005%,-1.8580,0.726,0.645,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0043500,"muscle adaptation",0.013%,-1.6649,0.743,0.677,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0060149,"negative regulation of posttranscriptional gene silencing",0.003%,-2.2957,0.632,0.465,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0043900,"regulation of multi-organism process",0.079%,-1.6002,0.779,0.502,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0060158,"phospholipase C-activating dopamine receptor signaling pathway",0.003%,-2.9694,0.737,0.257,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0030539,"male genitalia development",0.006%,-1.9604,0.765,0.530,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0002682,"regulation of immune system process",0.252%,-2.7993,0.725,0.227,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0031062,"positive regulation of histone methylation",0.009%,-3.2835,0.653,0.625,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0045667,"regulation of osteoblast differentiation",0.021%,-1.4628,0.607,0.671,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:2000561,"regulation of CD4-positive, alpha-beta T cell proliferation",0.001%,-2.9517,0.739,0.571,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0032025,"response to cobalt ion",0.001%,-1.8120,0.892,0.624,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0010884,"positive regulation of lipid storage",0.005%,-1.5167,0.684,0.416,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007603,"phototransduction, visible light",0.004%,-2.2682,0.717,0.535,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0045603,"positive regulation of endothelial cell differentiation",0.003%,-1.9097,0.574,0.616,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0031556,"transcriptional attenuation by ribosome",0.000%,-2.6588,0.772,0.678,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0031555,"transcriptional attenuation",0.076%,-2.6588,0.678,0.231,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0045595,"regulation of cell differentiation",0.345%,-3.3283,0.615,0.182,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0060736,"prostate gland growth",0.002%,-1.8814,0.762,0.631,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0006412,"translation",5.686%,-9.3687,0.815,0.391,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0033173,"calcineurin-NFAT signaling cascade",0.006%,-2.2511,0.715,0.267,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0097202,"activation of cysteine-type endopeptidase activity",0.002%,-1.6347,0.688,0.539,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:1903538,"regulation of meiotic cell cycle process involved in oocyte maturation",0.000%,-2.7582,0.659,0.496,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0035690,"cellular response to drug",0.013%,-1.5431,0.851,0.434,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0038095,"Fc-epsilon receptor signaling pathway",0.003%,-1.7724,0.662,0.617,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:1904019,"epithelial cell apoptotic process",0.015%,-2.0056,0.864,0.551,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0001738,"morphogenesis of a polarized epithelium",0.021%,-1.6859,0.812,0.658,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0051096,"positive regulation of helicase activity",0.002%,-1.7488,0.826,0.363,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0051095,"regulation of helicase activity",0.006%,-1.5718,0.814,0.455,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0006957,"complement activation, alternative pathway",0.000%,-2.0124,0.658,0.556,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0006954,"inflammatory response",0.110%,-1.5781,0.878,0.275,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0042752,"regulation of circadian rhythm",0.028%,-2.1632,0.790,0.191,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:1905203,"regulation of connective tissue replacement",0.000%,-2.9484,0.706,0.123,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0034645,"cellular macromolecule biosynthetic process",19.291%,-7.7071,0.839,0.582,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0040007,"growth",0.317%,-1.6213,0.994,0.000,"growth"
GO:0044699,"single-organism process",46.569%,-1.8394,0.997,0.000,"single-organism process"
GO:0050896,"response to stimulus",12.210%,-1.9792,0.995,0.000,"response to stimulus"
GO:0065007,"biological regulation",20.498%,-5.9736,0.995,0.000,"biological regulation"
GO:0009058,"biosynthetic process",31.611%,-4.2136,0.979,0.013,"biosynthesis"
GO:0006113,"fermentation",0.024%,-2.6582,0.886,0.046,"fermentation"
GO:0019216,"regulation of lipid metabolic process",0.095%,-2.5469,0.708,0.515,"fermentation"
GO:0030258,"lipid modification",0.377%,-2.6175,0.834,0.134,"fermentation"
GO:0046488,"phosphatidylinositol metabolic process",0.339%,-1.8146,0.829,0.700,"fermentation"
GO:0046839,"phospholipid dephosphorylation",0.052%,-1.4780,0.851,0.535,"fermentation"
GO:0019662,"non-glycolytic fermentation",0.001%,-2.6582,0.900,0.449,"fermentation"
GO:0019588,"anaerobic glycerol catabolic process",0.000%,-2.6582,0.898,0.643,"fermentation"
GO:0036092,"phosphatidylinositol-3-phosphate biosynthetic process",0.011%,-2.1082,0.844,0.477,"fermentation"
GO:0070783,"growth of unicellular organism as a thread of attached cells",0.016%,-2.1738,0.922,0.048,"growth of unicellular organism as a thread of attached cells"
GO:0030447,"filamentous growth",0.026%,-1.8511,0.924,0.675,"growth of unicellular organism as a thread of attached cells"
GO:0043403,"skeletal muscle tissue regeneration",0.005%,-1.7792,0.743,0.615,"growth of unicellular organism as a thread of attached cells"
GO:0019740,"nitrogen utilization",0.085%,-1.6748,0.936,0.053,"nitrogen utilization"
GO:0044238,"primary metabolic process",53.743%,-3.3201,0.977,0.078,"primary metabolism"
GO:0044763,"single-organism cellular process",27.536%,-2.1106,0.884,0.169,"primary metabolism"
GO:0044237,"cellular metabolic process",53.061%,-3.2204,0.935,0.111,"primary metabolism"
GO:0071704,"organic substance metabolic process",58.357%,-3.2414,0.977,0.120,"primary metabolism"
GO:0097054,"L-glutamate biosynthetic process",0.000%,-1.8377,0.884,0.086,"L-glutamate biosynthesis"
GO:0019676,"ammonia assimilation cycle",0.003%,-1.8076,0.881,0.518,"L-glutamate biosynthesis"
GO:0006807,"nitrogen compound metabolic process",38.744%,-2.7143,0.978,0.089,"nitrogen compound metabolism"
GO:1902983,"DNA strand elongation involved in mitotic DNA replication",0.001%,-2.4924,0.861,0.095,"DNA strand elongation involved in mitotic DNA replication"
GO:0006268,"DNA unwinding involved in DNA replication",0.058%,-1.5091,0.875,0.546,"DNA strand elongation involved in mitotic DNA replication"
GO:1902296,"DNA strand elongation involved in cell cycle DNA replication",0.001%,-2.4924,0.863,0.692,"DNA strand elongation involved in mitotic DNA replication"
GO:0044260,"cellular macromolecule metabolic process",34.276%,-3.3184,0.882,0.416,"DNA strand elongation involved in mitotic DNA replication"
GO:0009059,"macromolecule biosynthetic process",19.548%,-6.8789,0.889,0.139,"DNA strand elongation involved in mitotic DNA replication"
GO:0044249,"cellular biosynthetic process",30.048%,-4.7983,0.875,0.585,"DNA strand elongation involved in mitotic DNA replication"
GO:0043170,"macromolecule metabolic process",39.491%,-3.2473,0.952,0.175,"DNA strand elongation involved in mitotic DNA replication"
GO:0044271,"cellular nitrogen compound biosynthetic process",22.502%,-5.3107,0.866,0.504,"DNA strand elongation involved in mitotic DNA replication"
GO:1901576,"organic substance biosynthetic process",30.365%,-4.5524,0.902,0.658,"DNA strand elongation involved in mitotic DNA replication"
GO:1901564,"organonitrogen compound metabolic process",17.886%,-2.3291,0.929,0.415,"DNA strand elongation involved in mitotic DNA replication"
GO:0043603,"cellular amide metabolic process",6.879%,-6.9503,0.910,0.101,"DNA strand elongation involved in mitotic DNA replication"
GO:0019538,"protein metabolic process",18.489%,-2.3485,0.923,0.339,"DNA strand elongation involved in mitotic DNA replication"
GO:0036260,"RNA capping",0.112%,-1.6305,0.891,0.490,"DNA strand elongation involved in mitotic DNA replication"
GO:0030174,"regulation of DNA-dependent DNA replication initiation",0.014%,-1.4652,0.740,0.629,"DNA strand elongation involved in mitotic DNA replication"
GO:0006397,"mRNA processing",0.561%,-1.5690,0.876,0.556,"DNA strand elongation involved in mitotic DNA replication"
GO:0034641,"cellular nitrogen compound metabolic process",34.137%,-4.0736,0.894,0.310,"DNA strand elongation involved in mitotic DNA replication"
GO:0009452,"7-methylguanosine RNA capping",0.112%,-1.6305,0.889,0.180,"DNA strand elongation involved in mitotic DNA replication"
GO:0042795,"snRNA transcription from RNA polymerase II promoter",0.003%,-1.7298,0.899,0.123,"DNA strand elongation involved in mitotic DNA replication"
