#gene_id	length
TRINITY_DN5948_c0_g1	277
TRINITY_DN66612_c0_g1	454
TRINITY_DN96925_c0_g1	740
TRINITY_DN8029_c0_g1	278
TRINITY_DN66712_c0_g1	231
TRINITY_DN19524_c0_g1	374
TRINITY_DN89467_c0_g1	216
TRINITY_DN63486_c0_g1	286
TRINITY_DN99031_c0_g1	318
TRINITY_DN99031_c0_g2	368
TRINITY_DN44824_c0_g1	314
TRINITY_DN64959_c0_g1	218
TRINITY_DN87428_c0_g1	549
TRINITY_DN84603_c0_g1	338
TRINITY_DN84694_c0_g1	458
TRINITY_DN96060_c0_g1	214
TRINITY_DN19711_c0_g1	438
TRINITY_DN50082_c0_g1	410
TRINITY_DN25708_c0_g1	224
TRINITY_DN58530_c0_g1	233
TRINITY_DN79656_c0_g2	220
TRINITY_DN69548_c0_g1	425
TRINITY_DN57547_c0_g1	306
TRINITY_DN79034_c0_g1	414
TRINITY_DN97043_c0_g1	527
TRINITY_DN15325_c0_g1	260
TRINITY_DN41171_c0_g1	239
TRINITY_DN86869_c0_g1	399
TRINITY_DN86850_c0_g1	462
TRINITY_DN1753_c0_g1	260
TRINITY_DN42739_c0_g1	282
TRINITY_DN20477_c0_g1	258
TRINITY_DN59166_c0_g1	213
TRINITY_DN54509_c0_g1	321
TRINITY_DN34608_c0_g1	1013
TRINITY_DN81084_c0_g1	339
TRINITY_DN68669_c0_g1	374
TRINITY_DN88730_c0_g1	204
TRINITY_DN30556_c0_g1	204
TRINITY_DN63221_c0_g1	201
TRINITY_DN11990_c0_g1	667
TRINITY_DN43479_c0_g1	286
TRINITY_DN99398_c0_g1	347
TRINITY_DN4358_c0_g1	296
TRINITY_DN52580_c0_g2	613
TRINITY_DN82988_c0_g1	236
TRINITY_DN12825_c0_g1	209
TRINITY_DN65443_c0_g1	227
TRINITY_DN27231_c0_g1	203
TRINITY_DN43705_c0_g1	792
TRINITY_DN20257_c0_g1	274
TRINITY_DN57616_c0_g1	375
TRINITY_DN83200_c0_g1	240
TRINITY_DN52948_c0_g1	248
TRINITY_DN17585_c0_g1	221
TRINITY_DN12307_c0_g1	277
TRINITY_DN12331_c0_g1	232
TRINITY_DN69755_c0_g1	454
TRINITY_DN23786_c0_g1	451
TRINITY_DN52195_c0_g1	251
TRINITY_DN52184_c0_g1	344
TRINITY_DN76078_c0_g1	360
TRINITY_DN82687_c0_g1	352
TRINITY_DN45327_c0_g1	387
TRINITY_DN45327_c0_g2	259
TRINITY_DN23400_c0_g1	628
TRINITY_DN22320_c0_g1	301
TRINITY_DN11326_c0_g1	369
TRINITY_DN85054_c0_g1	498
TRINITY_DN32207_c0_g1	267
TRINITY_DN99483_c1_g1	355
TRINITY_DN92466_c0_g1	638
TRINITY_DN92418_c0_g1	216
TRINITY_DN91176_c0_g1	433
TRINITY_DN91181_c0_g1	202
TRINITY_DN26576_c0_g1	235
TRINITY_DN92381_c0_g1	328
TRINITY_DN92381_c0_g2	580
TRINITY_DN78530_c0_g1	209
TRINITY_DN59774_c0_g1	254
TRINITY_DN6532_c0_g1	211
TRINITY_DN10615_c0_g1	204
TRINITY_DN85888_c0_g1	432
TRINITY_DN80176_c0_g1	294
TRINITY_DN80140_c0_g1	247
TRINITY_DN10987_c0_g1	250
TRINITY_DN30179_c0_g1	209
TRINITY_DN90174_c0_g1	317
TRINITY_DN98344_c0_g1	1030
TRINITY_DN98317_c0_g1	205
TRINITY_DN76255_c0_g1	242
TRINITY_DN67229_c0_g1	556
TRINITY_DN91948_c0_g1	277
TRINITY_DN48034_c0_g1	243
TRINITY_DN44269_c0_g1	249
TRINITY_DN93281_c0_g1	347
TRINITY_DN47228_c0_g1	215
TRINITY_DN47269_c0_g1	343
TRINITY_DN94967_c0_g1	672
TRINITY_DN96164_c0_g1	231
TRINITY_DN7279_c0_g1	201
TRINITY_DN18420_c0_g1	565
TRINITY_DN81333_c0_g1	292
TRINITY_DN5355_c0_g1	403
TRINITY_DN63149_c0_g1	423
TRINITY_DN7653_c0_g1	206
TRINITY_DN40939_c0_g1	389
TRINITY_DN13309_c0_g1	401
TRINITY_DN93380_c0_g1	339
TRINITY_DN24765_c0_g1	450
TRINITY_DN47509_c0_g1	524
TRINITY_DN60403_c0_g1	284
TRINITY_DN34161_c0_g1	203
TRINITY_DN80664_c0_g2	432
TRINITY_DN31532_c0_g1	352
TRINITY_DN19082_c0_g1	268
TRINITY_DN99651_c0_g1	220
TRINITY_DN84539_c0_g1	326
TRINITY_DN78738_c0_g1	286
TRINITY_DN71315_c0_g1	302
TRINITY_DN43166_c0_g1	460
TRINITY_DN98519_c0_g1	349
TRINITY_DN89658_c0_g1	536
TRINITY_DN44024_c0_g1	213
TRINITY_DN62117_c0_g1	370
TRINITY_DN28212_c0_g1	222
TRINITY_DN28251_c0_g1	224
TRINITY_DN21040_c0_g1	322
TRINITY_DN97589_c0_g1	358
TRINITY_DN45584_c0_g1	320
TRINITY_DN36887_c0_g1	232
TRINITY_DN88831_c0_g1	251
TRINITY_DN11894_c0_g1	312
TRINITY_DN11860_c0_g1	208
TRINITY_DN65728_c0_g1	251
TRINITY_DN38750_c0_g1	284
TRINITY_DN75967_c0_g1	394
TRINITY_DN98272_c0_g1	233
TRINITY_DN83459_c0_g1	211
TRINITY_DN87568_c0_g1	342
TRINITY_DN81817_c0_g1	204
TRINITY_DN74896_c0_g1	261
TRINITY_DN6056_c0_g1	225
TRINITY_DN19371_c0_g1	276
TRINITY_DN99159_c0_g1	268
TRINITY_DN95490_c0_g1	520
TRINITY_DN6393_c0_g1	490
TRINITY_DN6397_c0_g1	321
TRINITY_DN63382_c0_g1	317
TRINITY_DN55345_c0_g1	486
TRINITY_DN1104_c0_g1	423
TRINITY_DN29399_c0_g1	221
TRINITY_DN16426_c0_g1	476
TRINITY_DN17747_c0_g1	259
TRINITY_DN14196_c0_g1	336
TRINITY_DN26160_c0_g1	245
TRINITY_DN94151_c0_g1	262
TRINITY_DN37064_c0_g1	235
TRINITY_DN85131_c0_g1	291
TRINITY_DN48159_c0_g1	341
TRINITY_DN17688_c0_g1	327
TRINITY_DN64743_c0_g1	209
TRINITY_DN35423_c0_g1	347
TRINITY_DN8609_c0_g1	256
TRINITY_DN8315_c0_g1	216
TRINITY_DN65257_c0_g1	309
TRINITY_DN82581_c0_g1	366
TRINITY_DN40314_c0_g1	291
TRINITY_DN92131_c0_g1	265
TRINITY_DN39316_c0_g1	219
TRINITY_DN8573_c0_g1	458
TRINITY_DN92628_c0_g1	220
TRINITY_DN92628_c0_g2	475
TRINITY_DN32785_c0_g1	220
TRINITY_DN1645_c0_g1	232
TRINITY_DN1658_c0_g1	354
TRINITY_DN69921_c0_g1	554
TRINITY_DN76460_c0_g1	269
TRINITY_DN3944_c0_g1	232
TRINITY_DN3946_c0_g1	392
TRINITY_DN9610_c0_g1	567
TRINITY_DN92527_c0_g1	297
TRINITY_DN57830_c0_g1	263
TRINITY_DN74131_c0_g1	316
TRINITY_DN74131_c0_g2	260
TRINITY_DN72255_c0_g1	294
TRINITY_DN93651_c0_g1	407
TRINITY_DN80273_c0_g1	277
TRINITY_DN188103_c0_g2	249
TRINITY_DN188175_c3_g3	303
TRINITY_DN188156_c2_g2	479
TRINITY_DN188148_c4_g1	335
TRINITY_DN113622_c0_g1	661
TRINITY_DN113693_c0_g1	262
TRINITY_DN159775_c5_g2	642
TRINITY_DN159720_c7_g2	379
TRINITY_DN159788_c0_g3	804
TRINITY_DN159788_c0_g1	1118
TRINITY_DN159799_c0_g1	572
TRINITY_DN159750_c3_g3	679
TRINITY_DN187646_c1_g1	263
TRINITY_DN191802_c2_g3	370
TRINITY_DN191817_c0_g1	653
TRINITY_DN191805_c0_g2	1871
TRINITY_DN191847_c5_g1	1516
TRINITY_DN191838_c0_g1	1782
TRINITY_DN191838_c0_g2	290
TRINITY_DN191838_c0_g3	209
TRINITY_DN189167_c3_g1	280
TRINITY_DN189167_c3_g2	211
TRINITY_DN189155_c8_g1	882
TRINITY_DN189164_c0_g1	235
TRINITY_DN189164_c1_g1	305
TRINITY_DN189158_c12_g1	209
TRINITY_DN189173_c1_g1	2251
TRINITY_DN189151_c1_g2	280
TRINITY_DN189108_c2_g1	2161
TRINITY_DN172971_c3_g2	343
TRINITY_DN172985_c2_g1	829
TRINITY_DN172985_c3_g2	480
TRINITY_DN172933_c4_g1	1316
TRINITY_DN172949_c0_g1	323
TRINITY_DN172944_c3_g2	235
TRINITY_DN182576_c3_g1	650
TRINITY_DN182555_c3_g2	2869
TRINITY_DN182555_c4_g1	269
TRINITY_DN182541_c2_g1	1553
TRINITY_DN124647_c0_g1	711
TRINITY_DN116661_c0_g1	217
TRINITY_DN196589_c0_g1	452
TRINITY_DN196537_c2_g1	2516
TRINITY_DN196537_c2_g2	304
TRINITY_DN196547_c2_g3	233
TRINITY_DN196547_c2_g4	354
TRINITY_DN196564_c1_g3	481
TRINITY_DN154737_c0_g1	585
TRINITY_DN154742_c0_g1	1095
TRINITY_DN154786_c0_g1	1271
TRINITY_DN156725_c2_g3	456
TRINITY_DN156712_c0_g1	283
TRINITY_DN156712_c4_g1	559
TRINITY_DN156712_c4_g3	433
TRINITY_DN156788_c4_g2	220
TRINITY_DN156740_c1_g1	1688
TRINITY_DN156753_c3_g7	276
TRINITY_DN156756_c5_g2	502
TRINITY_DN186072_c2_g2	429
TRINITY_DN186033_c2_g1	1879
TRINITY_DN186022_c1_g4	711
TRINITY_DN186005_c3_g3	516
TRINITY_DN186019_c0_g1	325
TRINITY_DN163434_c2_g1	1129
TRINITY_DN163434_c2_g3	340
TRINITY_DN163434_c2_g4	202
TRINITY_DN163445_c2_g3	270
TRINITY_DN163478_c1_g1	417
TRINITY_DN163478_c1_g2	586
TRINITY_DN163442_c3_g2	243
TRINITY_DN168509_c8_g3	741
TRINITY_DN168556_c1_g1	538
TRINITY_DN168556_c1_g3	357
TRINITY_DN168555_c0_g1	382
TRINITY_DN168526_c3_g1	287
TRINITY_DN168595_c6_g1	623
TRINITY_DN180480_c4_g2	266
TRINITY_DN180497_c4_g1	318
TRINITY_DN180444_c3_g2	542
TRINITY_DN180471_c4_g2	702
TRINITY_DN173003_c1_g2	1082
TRINITY_DN173025_c3_g1	926
TRINITY_DN173005_c1_g4	313
TRINITY_DN101324_c0_g1	455
TRINITY_DN180018_c3_g3	837
TRINITY_DN180097_c2_g1	601
TRINITY_DN180041_c6_g1	619
TRINITY_DN180082_c2_g2	1487
TRINITY_DN190550_c3_g5	2286
TRINITY_DN190581_c3_g3	1260
TRINITY_DN190516_c1_g1	668
TRINITY_DN190549_c8_g1	274
TRINITY_DN190593_c3_g1	1037
TRINITY_DN197802_c4_g2	261
TRINITY_DN197871_c2_g1	1087
TRINITY_DN197828_c0_g1	3783
TRINITY_DN197845_c0_g1	4774
TRINITY_DN197895_c7_g4	1289
TRINITY_DN197884_c0_g2	2791
TRINITY_DN197816_c5_g2	759
TRINITY_DN100065_c0_g1	280
TRINITY_DN191229_c2_g1	397
TRINITY_DN161706_c3_g1	933
TRINITY_DN161706_c3_g2	202
TRINITY_DN161706_c3_g3	207
TRINITY_DN161789_c3_g1	450
TRINITY_DN161736_c1_g2	491
TRINITY_DN162307_c5_g2	818
TRINITY_DN162359_c4_g2	723
TRINITY_DN162305_c10_g1	1723
TRINITY_DN162365_c2_g1	286
TRINITY_DN154590_c6_g3	249
TRINITY_DN154590_c10_g1	1048
TRINITY_DN154590_c13_g1	247
TRINITY_DN154583_c0_g1	313
TRINITY_DN154583_c0_g2	723
TRINITY_DN191536_c1_g3	1868
TRINITY_DN191536_c1_g4	434
TRINITY_DN191502_c0_g1	252
TRINITY_DN191530_c6_g2	1302
TRINITY_DN191525_c3_g1	1565
TRINITY_DN191505_c0_g4	406
TRINITY_DN191506_c0_g6	507
TRINITY_DN191506_c1_g2	674
TRINITY_DN191506_c1_g4	442
TRINITY_DN191574_c4_g3	237
TRINITY_DN191571_c2_g1	1490
TRINITY_DN185115_c1_g1	603
TRINITY_DN185122_c5_g1	958
TRINITY_DN185122_c7_g1	291
TRINITY_DN185131_c1_g1	858
TRINITY_DN126585_c0_g1	201
TRINITY_DN126543_c0_g1	584
TRINITY_DN126512_c0_g1	1138
TRINITY_DN126512_c0_g2	833
TRINITY_DN126509_c0_g1	628
TRINITY_DN196016_c2_g1	1015
TRINITY_DN196016_c2_g2	594
TRINITY_DN196079_c9_g1	202
TRINITY_DN196088_c0_g2	7984
TRINITY_DN196068_c4_g1	458
TRINITY_DN196090_c1_g2	960
TRINITY_DN153035_c13_g2	884
TRINITY_DN153035_c13_g3	310
TRINITY_DN153040_c2_g1	436
TRINITY_DN150761_c3_g1	402
TRINITY_DN150726_c0_g1	510
TRINITY_DN180504_c0_g1	210
TRINITY_DN180504_c1_g1	405
TRINITY_DN180504_c5_g1	408
TRINITY_DN180510_c4_g2	1731
TRINITY_DN180576_c4_g1	1469
TRINITY_DN180529_c0_g3	1611
TRINITY_DN180568_c2_g1	1000
TRINITY_DN180568_c2_g6	310
TRINITY_DN188789_c5_g1	1051
TRINITY_DN188770_c4_g2	1957
TRINITY_DN177426_c2_g1	1337
TRINITY_DN177426_c2_g2	483
TRINITY_DN177416_c5_g3	474
TRINITY_DN177419_c3_g1	1280
TRINITY_DN177478_c2_g1	1188
TRINITY_DN177492_c7_g2	2132
TRINITY_DN177490_c1_g1	1108
TRINITY_DN177487_c1_g3	250
TRINITY_DN149207_c0_g1	361
TRINITY_DN149285_c0_g2	954
TRINITY_DN149252_c1_g1	645
TRINITY_DN102564_c0_g1	218
TRINITY_DN114374_c0_g1	624
TRINITY_DN193122_c1_g2	2586
TRINITY_DN193184_c0_g1	2200
TRINITY_DN193109_c2_g1	259
TRINITY_DN193131_c7_g1	214
TRINITY_DN193136_c0_g1	1492
TRINITY_DN193104_c2_g1	259
TRINITY_DN167679_c8_g1	898
TRINITY_DN167679_c8_g2	1020
TRINITY_DN167683_c4_g1	450
TRINITY_DN167683_c5_g3	971
TRINITY_DN167620_c1_g1	758
TRINITY_DN167697_c3_g1	339
TRINITY_DN167611_c7_g3	1016
TRINITY_DN167614_c5_g5	351
TRINITY_DN156370_c3_g1	540
TRINITY_DN156327_c1_g1	992
TRINITY_DN156337_c0_g1	726
TRINITY_DN156367_c4_g3	228
TRINITY_DN156367_c4_g2	1051
TRINITY_DN184878_c4_g1	486
TRINITY_DN184878_c4_g3	219
TRINITY_DN184878_c4_g2	295
TRINITY_DN184869_c5_g3	409
TRINITY_DN184873_c8_g1	239
TRINITY_DN184889_c1_g1	994
TRINITY_DN184881_c0_g1	509
TRINITY_DN184881_c0_g2	1600
TRINITY_DN133329_c0_g1	423
TRINITY_DN163125_c8_g1	866
TRINITY_DN163170_c1_g3	551
TRINITY_DN163141_c2_g1	361
TRINITY_DN163164_c0_g1	366
TRINITY_DN163164_c0_g2	619
TRINITY_DN180128_c5_g4	2963
TRINITY_DN180117_c2_g1	3063
TRINITY_DN180132_c4_g2	778
TRINITY_DN180125_c4_g1	365
TRINITY_DN180105_c2_g2	1253
TRINITY_DN180168_c3_g1	316
TRINITY_DN180168_c3_g3	301
TRINITY_DN193014_c4_g1	3365
TRINITY_DN193011_c0_g1	227
TRINITY_DN193011_c0_g2	239
TRINITY_DN193011_c0_g3	354
TRINITY_DN193011_c0_g5	392
TRINITY_DN193011_c0_g4	3520
TRINITY_DN193041_c8_g1	465
TRINITY_DN153110_c0_g1	241
TRINITY_DN153168_c13_g1	638
TRINITY_DN160444_c9_g4	892
TRINITY_DN160443_c2_g3	275
TRINITY_DN160449_c7_g1	273
TRINITY_DN160465_c1_g1	624
TRINITY_DN149779_c0_g1	976
TRINITY_DN103151_c0_g1	647
TRINITY_DN129061_c0_g1	264
TRINITY_DN129083_c0_g1	638
TRINITY_DN195838_c3_g1	631
TRINITY_DN195812_c0_g1	3719
TRINITY_DN195822_c1_g1	599
TRINITY_DN153740_c0_g1	426
TRINITY_DN153789_c3_g1	405
TRINITY_DN153789_c3_g2	502
TRINITY_DN153724_c0_g1	879
TRINITY_DN185623_c1_g1	476
TRINITY_DN185670_c3_g1	217
TRINITY_DN185670_c4_g1	268
TRINITY_DN185670_c5_g1	610
TRINITY_DN185670_c6_g2	360
TRINITY_DN185664_c0_g1	661
TRINITY_DN185646_c6_g2	1476
TRINITY_DN130218_c0_g1	358
TRINITY_DN124093_c0_g1	552
TRINITY_DN124094_c0_g1	665
TRINITY_DN189955_c0_g1	252
TRINITY_DN189955_c4_g1	4047
TRINITY_DN189971_c4_g1	363
TRINITY_DN189985_c0_g2	3855
TRINITY_DN189958_c1_g2	455
TRINITY_DN157337_c0_g1	230
TRINITY_DN157343_c4_g1	435
TRINITY_DN157355_c4_g1	394
TRINITY_DN157336_c2_g1	268
TRINITY_DN157392_c0_g1	213
TRINITY_DN157392_c4_g2	721
TRINITY_DN158798_c2_g1	1077
TRINITY_DN158798_c2_g3	697
TRINITY_DN158750_c5_g2	3837
TRINITY_DN158794_c5_g2	1788
TRINITY_DN189236_c5_g1	377
TRINITY_DN189282_c3_g2	240
TRINITY_DN189246_c0_g2	688
TRINITY_DN186597_c6_g1	1325
TRINITY_DN186562_c0_g1	603
TRINITY_DN186562_c0_g3	342
TRINITY_DN186570_c0_g1	243
TRINITY_DN186544_c2_g1	2269
TRINITY_DN186595_c0_g1	260
TRINITY_DN186595_c1_g2	844
TRINITY_DN186506_c3_g2	771
TRINITY_DN186575_c4_g1	540
TRINITY_DN186541_c1_g3	735
TRINITY_DN186577_c4_g2	430
TRINITY_DN103024_c0_g1	555
TRINITY_DN166227_c1_g1	808
TRINITY_DN166240_c3_g1	626
TRINITY_DN166264_c11_g3	604
TRINITY_DN166263_c2_g1	581
TRINITY_DN166263_c2_g8	203
TRINITY_DN166257_c1_g2	1089
TRINITY_DN166257_c1_g3	1113
TRINITY_DN183096_c13_g1	458
TRINITY_DN183073_c0_g3	418
TRINITY_DN183073_c0_g4	1710
TRINITY_DN183073_c0_g5	535
TRINITY_DN183091_c5_g2	244
TRINITY_DN183057_c0_g1	375
TRINITY_DN183057_c3_g2	2950
TRINITY_DN183057_c3_g4	211
TRINITY_DN183081_c0_g1	375
TRINITY_DN182985_c0_g3	752
TRINITY_DN182921_c0_g1	1622
TRINITY_DN182937_c2_g1	1597
TRINITY_DN144108_c1_g2	205
TRINITY_DN144159_c3_g1	229
TRINITY_DN154679_c0_g1	1064
TRINITY_DN154694_c0_g1	341
TRINITY_DN154694_c0_g2	477
TRINITY_DN154694_c2_g1	448
TRINITY_DN154694_c2_g2	554
TRINITY_DN154661_c11_g1	473
TRINITY_DN154657_c0_g1	1296
TRINITY_DN176010_c3_g2	1056
TRINITY_DN176076_c0_g1	568
TRINITY_DN176018_c2_g2	1742
TRINITY_DN176092_c0_g1	770
TRINITY_DN176092_c0_g4	345
TRINITY_DN176092_c1_g2	836
TRINITY_DN196402_c1_g2	661
TRINITY_DN196429_c3_g1	2055
TRINITY_DN196486_c0_g1	256
TRINITY_DN196486_c1_g1	330
TRINITY_DN196486_c1_g2	281
TRINITY_DN196486_c2_g1	1419
TRINITY_DN196477_c0_g1	337
TRINITY_DN196424_c4_g1	1336
TRINITY_DN196424_c4_g3	251
TRINITY_DN196480_c5_g1	1078
TRINITY_DN157169_c5_g1	1021
TRINITY_DN157169_c5_g2	1118
TRINITY_DN157169_c5_g3	368
TRINITY_DN157100_c2_g1	398
TRINITY_DN157100_c2_g2	311
TRINITY_DN157100_c2_g3	247
TRINITY_DN157118_c3_g2	702
TRINITY_DN157118_c4_g2	234
TRINITY_DN157122_c11_g1	380
TRINITY_DN159332_c2_g1	271
TRINITY_DN159383_c0_g3	212
TRINITY_DN159313_c7_g1	214
TRINITY_DN159354_c2_g1	255
TRINITY_DN159354_c4_g1	702
TRINITY_DN159384_c12_g2	437
TRINITY_DN132638_c0_g1	274
TRINITY_DN132638_c0_g2	315
TRINITY_DN132606_c1_g1	294
TRINITY_DN196133_c1_g1	2845
TRINITY_DN196154_c2_g1	268
TRINITY_DN196111_c0_g1	328
TRINITY_DN196132_c0_g1	213
TRINITY_DN196132_c2_g1	410
TRINITY_DN196132_c3_g1	3238
TRINITY_DN196113_c4_g1	210
TRINITY_DN196113_c6_g2	1747
TRINITY_DN196108_c0_g1	732
TRINITY_DN165469_c7_g1	441
TRINITY_DN165456_c5_g1	661
TRINITY_DN165476_c1_g4	219
TRINITY_DN165442_c3_g1	213
TRINITY_DN165442_c4_g1	973
TRINITY_DN165442_c4_g4	688
TRINITY_DN165442_c5_g1	201
TRINITY_DN165453_c2_g1	1130
TRINITY_DN165453_c2_g4	770
TRINITY_DN165453_c3_g1	294
TRINITY_DN169014_c0_g1	555
TRINITY_DN169014_c0_g2	521
TRINITY_DN169011_c6_g4	354
TRINITY_DN169011_c6_g1	399
TRINITY_DN169084_c10_g1	472
TRINITY_DN169057_c5_g4	3146
TRINITY_DN169057_c5_g6	213
TRINITY_DN169059_c3_g1	219
TRINITY_DN169050_c2_g1	790
TRINITY_DN115880_c0_g1	481
TRINITY_DN115813_c0_g1	219
TRINITY_DN182063_c2_g1	1111
TRINITY_DN182063_c8_g1	1842
TRINITY_DN182015_c4_g1	1333
TRINITY_DN182015_c4_g4	935
TRINITY_DN182077_c3_g1	1238
TRINITY_DN182077_c4_g1	407
TRINITY_DN182032_c4_g1	348
TRINITY_DN182025_c0_g1	2624
TRINITY_DN108230_c1_g1	490
TRINITY_DN197518_c2_g1	3923
TRINITY_DN197589_c0_g1	1747
TRINITY_DN197519_c4_g1	491
TRINITY_DN197591_c4_g1	1623
TRINITY_DN197527_c3_g1	2157
TRINITY_DN197576_c1_g1	1073
TRINITY_DN197501_c2_g1	240
TRINITY_DN197501_c2_g2	283
TRINITY_DN174545_c4_g9	544
TRINITY_DN174502_c0_g1	2841
TRINITY_DN174552_c3_g1	362
TRINITY_DN138273_c1_g1	424
TRINITY_DN138229_c0_g1	644
TRINITY_DN165708_c1_g1	485
TRINITY_DN165771_c2_g2	579
TRINITY_DN165771_c2_g4	657
TRINITY_DN165781_c7_g1	590
TRINITY_DN165783_c7_g4	373
TRINITY_DN165787_c2_g1	733
TRINITY_DN139248_c0_g1	507
TRINITY_DN139210_c0_g1	391
TRINITY_DN139210_c0_g2	1359
TRINITY_DN148635_c0_g1	727
TRINITY_DN148685_c0_g1	959
TRINITY_DN148636_c0_g1	382
TRINITY_DN148615_c0_g1	451
TRINITY_DN190828_c3_g2	298
TRINITY_DN190875_c0_g1	2321
TRINITY_DN190861_c1_g1	446
TRINITY_DN190880_c2_g1	1495
TRINITY_DN190841_c2_g1	1096
TRINITY_DN190804_c3_g2	1105
TRINITY_DN174439_c0_g2	642
TRINITY_DN174451_c2_g2	272
TRINITY_DN174455_c4_g3	432
TRINITY_DN174402_c1_g3	258
TRINITY_DN110001_c0_g1	715
TRINITY_DN185803_c0_g1	939
TRINITY_DN185831_c0_g1	2057
TRINITY_DN185831_c0_g3	426
TRINITY_DN185840_c5_g1	571
TRINITY_DN185820_c3_g2	548
TRINITY_DN185848_c0_g1	577
TRINITY_DN158460_c0_g1	333
TRINITY_DN158470_c0_g3	840
TRINITY_DN158480_c9_g1	603
TRINITY_DN158497_c5_g1	1100
TRINITY_DN158488_c1_g2	344
TRINITY_DN158461_c1_g3	225
TRINITY_DN199796_c2_g3	271
TRINITY_DN199743_c4_g1	2665
TRINITY_DN199778_c4_g1	1010
TRINITY_DN199763_c2_g1	388
TRINITY_DN199763_c2_g2	225
TRINITY_DN199763_c3_g1	999
TRINITY_DN199776_c0_g1	415
TRINITY_DN199787_c2_g2	659
TRINITY_DN199733_c1_g1	1688
TRINITY_DN199747_c1_g2	1886
TRINITY_DN199766_c0_g1	1354
TRINITY_DN157664_c4_g1	459
TRINITY_DN157676_c5_g1	303
TRINITY_DN157691_c0_g1	1115
TRINITY_DN157656_c0_g2	253
TRINITY_DN157662_c0_g1	925
TRINITY_DN187363_c1_g1	899
TRINITY_DN187363_c1_g2	204
TRINITY_DN187363_c1_g3	214
TRINITY_DN187363_c1_g5	478
TRINITY_DN187340_c2_g1	318
TRINITY_DN187340_c2_g2	222
TRINITY_DN187340_c2_g3	1559
TRINITY_DN187340_c2_g4	219
TRINITY_DN187340_c3_g2	1615
TRINITY_DN187340_c3_g3	1059
TRINITY_DN187353_c5_g1	544
TRINITY_DN187313_c0_g1	3664
TRINITY_DN187313_c0_g2	454
TRINITY_DN187313_c0_g3	208
TRINITY_DN187311_c1_g2	354
TRINITY_DN187333_c3_g2	385
TRINITY_DN177644_c0_g2	943
TRINITY_DN177677_c2_g1	628
TRINITY_DN177670_c2_g1	467
TRINITY_DN137018_c0_g1	324
TRINITY_DN164642_c2_g1	593
TRINITY_DN164642_c4_g2	552
TRINITY_DN164613_c1_g3	591
TRINITY_DN164601_c1_g3	344
TRINITY_DN164674_c1_g1	612
