description	log10pvalue	representative
multicellular organismal homeostasis	2.4834	negative regulation of keratinocyte proliferation
protein localization to Golgi apparatus	1.4905	negative regulation of keratinocyte proliferation
monoamine transport	1.5146	negative regulation of keratinocyte proliferation
choline transport	1.7034	negative regulation of keratinocyte proliferation
cellular response to interleukin-4	1.6155	negative regulation of keratinocyte proliferation
positive regulation of lactation	2.5479	negative regulation of keratinocyte proliferation
positive regulation of plasma cell differentiation	2.5479	negative regulation of keratinocyte proliferation
neurotransmitter secretion	1.4278	negative regulation of keratinocyte proliferation
protein destabilization	1.3022	negative regulation of keratinocyte proliferation
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	2.0944	negative regulation of keratinocyte proliferation
skin development	1.5493	negative regulation of keratinocyte proliferation
negative regulation of wound healing	2.5955	negative regulation of keratinocyte proliferation
cellular response to glucose starvation	1.5424	negative regulation of keratinocyte proliferation
intrinsic apoptotic signaling pathway in response to DNA damage	2.443	negative regulation of keratinocyte proliferation
response to electrical stimulus	1.3714	negative regulation of keratinocyte proliferation
serotonin secretion, neurotransmission	2.5479	negative regulation of keratinocyte proliferation
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	2.0261	negative regulation of keratinocyte proliferation
muscle organ development	2.0886	negative regulation of keratinocyte proliferation
muscle structure development	1.9008	negative regulation of keratinocyte proliferation
regulation of skeletal muscle satellite cell proliferation	1.9765	negative regulation of keratinocyte proliferation
ammonium transport	1.8834	negative regulation of keratinocyte proliferation
negative regulation of response to biotic stimulus	1.5954	negative regulation of keratinocyte proliferation
dendrite regeneration	2.0668	negative regulation of keratinocyte proliferation
regulation of transforming growth factor beta activation	1.8054	negative regulation of keratinocyte proliferation
regeneration	1.5252	negative regulation of keratinocyte proliferation
regulation of cellular response to transforming growth factor beta stimulus	1.5345	negative regulation of keratinocyte proliferation
regulation of biological quality	1.563	negative regulation of keratinocyte proliferation
positive regulation of protein export from nucleus	1.4837	negative regulation of keratinocyte proliferation
cellular response to laminar fluid shear stress	2.281	negative regulation of keratinocyte proliferation
epidermal cell differentiation	2.1822	negative regulation of keratinocyte proliferation
establishment of skin barrier	3.5867	negative regulation of keratinocyte proliferation
ribosomal small subunit assembly	3.48	ribosomal small subunit assembly
ribosomal large subunit biogenesis	2.7088	ribosomal small subunit assembly
vesicle uncoating	1.7799	ribosomal small subunit assembly
clathrin coat disassembly	1.8564	ribosomal small subunit assembly
positive regulation of histone methylation	1.4048	ribosomal small subunit assembly
ribonucleoprotein complex biogenesis	3.0474	ribosomal small subunit assembly
protein depolymerization	1.3284	ribosomal small subunit assembly
negative regulation of Arp2/3 complex-mediated actin nucleation	2.1632	ribosomal small subunit assembly
clathrin-coated pit assembly	1.9824	ribosomal small subunit assembly
cellular component biogenesis	2.2069	ribosomal small subunit assembly
Golgi to lysosome transport	1.6585	ribosomal small subunit assembly
phospholipid catabolic process	3.4103	phospholipid catabolism
phosphatidylethanolamine metabolic process	1.9143	phospholipid catabolism
organophosphate catabolic process	1.8386	phospholipid catabolism
phosphatidylinositol catabolic process	2.6456	phospholipid catabolism
fertilization	2.083	fertilization
DNA methylation involved in gamete generation	1.333	fertilization
macromolecule metabolic process	2.9842	macromolecule metabolism
nitrogen compound metabolic process	2.3474	nitrogen compound metabolism
piRNA metabolic process	1.3761	piRNA metabolism
primary metabolic process	2.4609	primary metabolism
cellular metabolic process	1.5834	primary metabolism
organic substance metabolic process	2.0906	primary metabolism
microtubule sliding	2.1902	microtubule sliding
