description	log10pvalue	representative
positive regulation of extracellular matrix organization	1.7226	regulation of double-strand break repair via nonhomologous end joining
cellular nitrogen compound metabolic process	2.1414	regulation of double-strand break repair via nonhomologous end joining
collagen-activated tyrosine kinase receptor signaling pathway	1.8003	regulation of double-strand break repair via nonhomologous end joining
collagen-activated signaling pathway	1.7712	regulation of double-strand break repair via nonhomologous end joining
anaerobic glycerol catabolic process	2.8741	regulation of double-strand break repair via nonhomologous end joining
ATP hydrolysis coupled transmembrane transport	2.2547	regulation of double-strand break repair via nonhomologous end joining
polysaccharide metabolic process	1.6509	regulation of double-strand break repair via nonhomologous end joining
sucrose biosynthetic process	1.9884	regulation of double-strand break repair via nonhomologous end joining
arachidonic acid secretion	1.6205	regulation of double-strand break repair via nonhomologous end joining
non-canonical Wnt signaling pathway via JNK cascade	1.6256	regulation of double-strand break repair via nonhomologous end joining
regulation of connective tissue replacement	2.5161	regulation of double-strand break repair via nonhomologous end joining
SCF complex assembly	2.3539	regulation of double-strand break repair via nonhomologous end joining
urate catabolic process	2.4911	regulation of double-strand break repair via nonhomologous end joining
positive regulation of synaptic transmission, cholinergic	1.632	regulation of double-strand break repair via nonhomologous end joining
primary metabolic process	3.8599	primary metabolism
organic substance metabolic process	3.3839	primary metabolism
chaperone-mediated protein folding	2.1333	chaperone-mediated protein folding
generation of precursor metabolites and energy	1.8194	generation of precursor metabolites and energy
carbohydrate metabolic process	2.8472	carbohydrate metabolism
bioluminescence	1.6027	bioluminescence
nitrogen compound metabolic process	2.5474	nitrogen compound metabolism
peptidyl-amino acid modification	3.1102	peptidyl-amino acid modification
regulation of primary metabolic process	4.1912	peptidyl-amino acid modification
regulation of cellular protein metabolic process	2.2905	peptidyl-amino acid modification
tricarboxylic acid metabolic process	1.9177	peptidyl-amino acid modification
regulation of protein metabolic process	2.495	peptidyl-amino acid modification
protein O-linked glycosylation via threonine	1.8759	peptidyl-amino acid modification
cellular macromolecule metabolic process	3.3938	peptidyl-amino acid modification
macromolecule metabolic process	3.1458	peptidyl-amino acid modification
cellular protein metabolic process	2.657	peptidyl-amino acid modification
regulation of metabolic process	3.3407	peptidyl-amino acid modification
regulation of cellular process	3.5675	peptidyl-amino acid modification
amino acid activation	1.6822	peptidyl-amino acid modification
protein metabolic process	2.196	peptidyl-amino acid modification
regulation of beta-amyloid formation	1.5859	peptidyl-amino acid modification
protein polyglutamylation	1.6575	peptidyl-amino acid modification
translation	2.3494	peptidyl-amino acid modification
isoleucyl-tRNA aminoacylation	1.9627	peptidyl-amino acid modification
glutaminyl-tRNA aminoacylation	1.9241	peptidyl-amino acid modification
cellular protein modification process	1.5718	peptidyl-amino acid modification
regulation of phosphorus metabolic process	2.179	peptidyl-amino acid modification
positive regulation of protein sumoylation	2.2324	peptidyl-amino acid modification
